Sensed Species, Rate Constant, L, n, SP, C, R^2
FC, k23, 0.293708, -0.248768, 15.105, 0, 1
CIA, k23, 0.227484, -0.652642, 71.4237, 0, 1
F2, k23, 0.226644, -0.130635, 37.073, 0, 1
F3, k23, 0.226655, -0.00362872, 674.652, 0, 1
FS, kO2, 95.3616, -0.0134783, 258.284, 0, 1
O2, kcia, 4.661, -8.87757, 1.41475, 0.418826, 1
FM, kcia, 5.50768, 0.0387998, 0.991932, 0.41756, 1
MP, kcia, 3.006, 0.0690787, 3.09565, 0.42, 1
F2, kcyt, 16.6101, 0.159447, 7.90727, 2.62995, 1
CIA, kcyt, 1557.4, 0.744197, 59.1271, 2.62967, 1
F3, kcyt, 5.00448, 0.00537466, 0.991933, 2.62995, 1
FC, kcyt, 2.15854, 1.00162, 8.74028, 2.62992, 1
FS, kmit, 168.632, 0.022031, 0.991933, 0.538779, 1
O2, kmp, 4.1828, 8.89003, 0.130172, 0, 1
MP, kmp, 0.176593, -0.0142367, 376.877, 0, 1
FM, kmp, 0.931282, -0.0587368, 224.854, 0.00105854, 1
F2, kvac, 2.99975, -0.076787, 56.8973, 0, 1
CIA, kvac, 3.67913, -0.377767, 76.0689, 0, 1
F3, kvac, 3.04175, -0.00213037, 1396.83, 0, 1
FC, kvac, 2.88787, -0.679725, 14.0134, 0.160357, 1
