Component, Rate, L, n, SP, C, R^2
FM,kcia,2.37343,0.0427257,30.3037,0.418316,1
MP,kcia,50.7845,0.0617279,-48.8734,0.42,1
O2,kcia,3.25231,-9.20129,1.36002,0.418998,1
FC,kvac,2.88787,-0.679725,14.0134,0.160357,1
CIA,kvac,2.88882,-0.812736,73.0946,0.121398,1
F2,kvac,3.9869,-0.0224745,72.3422,-0.773088,1
F3,kvac,2.94847,-0.00279668,1226.8,0.0579799,1
FS,kmit,6.65534,0.038146,212.618,0.541498,1
FC,k23,0.869856,-0.119413,26.9842,-0.036747,1
CIA,k23,0.992063,-0.0967937,61.6559,-0.62172,1
F2,k23,1.8033,-0.0255431,-59.9719,-1.57431,1
F3,k23,1.01096,-0.000707155,-1650.52,-0.756676,1
FC,kcyt,2.15854,1.00162,8.74028,2.62992,1
CIA,kcyt,4.96016,0.970209,67.689,2.62992,1
F2,kcyt,8.94547,0.170192,13.0889,2.62995,1
F3,kcyt,5.20407,0.00530932,-12.2888,2.62995,1
FS,kO2,73.849,-0.277251,298.85,17.9801,1
FM,kmp,0.931282,-0.0587368,224.854,0.00105854,1
MP,kmp,0.812386,-0.000104556,6173.46,-0.278762,1
O2,kmp,0.671484,11.4533,0.390659,0.00104174,1
