alteredRateConstant,factor,MP,FC,F2,CIA,FS,F3,O2,FM
k23,0.5,19.9999,4.99997,33.1183,67.9999,300.0,46.8813,1.22222,49.9998
k23,0.51,19.9999,4.99997,32.6999,67.9999,300.0,47.2997,1.22222,49.9998
k23,0.52,19.9999,4.99997,32.2913,67.9999,300.0,47.7083,1.22222,49.9998
k23,0.53,19.9999,4.99997,31.8922,67.9999,300.0,48.1075,1.22222,49.9998
k23,0.54,19.9999,4.99997,31.5023,67.9999,300.0,48.4974,1.22222,49.9998
k23,0.55,19.9999,4.99997,31.1212,67.9999,300.0,48.8785,1.22222,49.9998
k23,0.56,19.9999,4.99997,30.7487,67.9999,300.0,49.2509,1.22222,49.9998
k23,0.57,19.9999,4.99997,30.3846,67.9999,300.0,49.615,1.22222,49.9998
k23,0.58,19.9999,4.99997,30.0285,67.9999,300.0,49.9711,1.22222,49.9998
k23,0.59,19.9999,4.99997,29.6803,67.9999,300.0,50.3193,1.22222,49.9998
k23,0.6,19.9999,4.99997,29.3396,67.9999,300.0,50.66,1.22222,49.9998
k23,0.61,19.9999,4.99997,29.0063,67.9999,300.0,50.9933,1.22222,49.9998
k23,0.62,19.9999,4.99997,28.6801,67.9999,300.0,51.3195,1.22222,49.9998
k23,0.63,19.9999,4.99997,28.3608,67.9999,300.0,51.6388,1.22222,49.9998
k23,0.64,19.9999,4.99997,28.0482,67.9999,300.0,51.9514,1.22222,49.9998
k23,0.65,19.9999,4.99997,27.7422,67.9999,300.0,52.2575,1.22222,49.9998
k23,0.66,19.9999,4.99997,27.4424,67.9999,300.0,52.5573,1.22222,49.9998
k23,0.67,19.9999,4.99997,27.1487,67.9999,300.0,52.8509,1.22222,49.9998
k23,0.68,19.9999,4.99997,26.861,67.9999,300.0,53.1386,1.22222,49.9998
k23,0.69,19.9999,4.99997,26.5791,67.9999,300.0,53.4205,1.22222,49.9998
k23,0.7,19.9999,4.99997,26.3028,67.9999,300.0,53.6968,1.22222,49.9998
k23,0.71,19.9999,4.99997,26.032,67.9999,300.0,53.9677,1.22222,49.9998
k23,0.72,19.9999,4.99997,25.7664,67.9999,300.0,54.2332,1.22222,49.9998
k23,0.73,19.9999,4.99997,25.506,67.9999,300.0,54.4936,1.22222,49.9998
k23,0.74,19.9999,4.99997,25.2506,67.9999,300.0,54.749,1.22222,49.9998
k23,0.75,19.9999,4.99997,25.0001,67.9999,300.0,54.9995,1.22222,49.9998
k23,0.76,19.9999,4.99997,24.7544,67.9999,300.0,55.2453,1.22222,49.9998
k23,0.77,19.9999,4.99997,24.5132,67.9999,300.0,55.4865,1.22222,49.9998
k23,0.78,19.9999,4.99997,24.2765,67.9999,300.0,55.7231,1.22222,49.9998
k23,0.79,19.9999,4.99997,24.0442,67.9999,300.0,55.9554,1.22222,49.9998
k23,0.8,19.9999,4.99997,23.8162,67.9999,300.0,56.1835,1.22222,49.9998
k23,0.81,19.9999,4.99997,23.5923,67.9999,300.0,56.4074,1.22222,49.9998
k23,0.82,19.9999,4.99997,23.3724,67.9999,300.0,56.6273,1.22222,49.9998
k23,0.83,19.9999,4.99997,23.1564,67.9999,300.0,56.8432,1.22222,49.9998
k23,0.84,19.9999,4.99997,22.9443,67.9999,300.0,57.0553,1.22222,49.9998
k23,0.85,19.9999,4.99997,22.7359,67.9999,300.0,57.2637,1.22222,49.9998
k23,0.86,19.9999,4.99997,22.5312,67.9999,300.0,57.4685,1.22222,49.9998
k23,0.87,19.9999,4.99997,22.33,67.9999,300.0,57.6697,1.22222,49.9998
k23,0.88,19.9999,4.99997,22.1322,67.9999,300.0,57.8674,1.22222,49.9998
k23,0.89,19.9999,4.99997,21.9378,67.9999,300.0,58.0618,1.22222,49.9998
k23,0.9,19.9999,4.99997,21.7467,67.9999,300.0,58.2529,1.22222,49.9998
k23,0.91,19.9999,4.99997,21.5588,67.9999,300.0,58.4408,1.22222,49.9998
k23,0.92,19.9999,4.99997,21.3741,67.9999,300.0,58.6256,1.22222,49.9998
k23,0.93,19.9999,4.99997,21.1924,67.9999,300.0,58.8073,1.22222,49.9998
k23,0.94,19.9999,4.99997,21.0137,67.9999,300.0,58.986,1.22222,49.9998
k23,0.95,19.9999,4.99997,20.8379,67.9999,300.0,59.1618,1.22222,49.9998
k23,0.96,19.9999,4.99997,20.6649,67.9999,300.0,59.3348,1.22222,49.9998
k23,0.97,19.9999,4.99997,20.4947,67.9999,300.0,59.505,1.22222,49.9998
k23,0.98,19.9999,4.99997,20.3272,67.9999,300.0,59.6725,1.22222,49.9998
k23,0.99,19.9999,4.99997,20.1624,67.9999,300.0,59.8373,1.22222,49.9998
k23,1.,19.9999,4.99997,20.0001,67.9999,300.0,59.9995,1.22222,49.9998
k23,1.01,19.9999,4.99997,19.8404,67.9999,300.0,60.1593,1.22222,49.9998
k23,1.02,19.9999,4.99997,19.6831,67.9999,300.0,60.3165,1.22222,49.9998
k23,1.03,19.9999,4.99997,19.5283,67.9999,300.0,60.4713,1.22222,49.9998
k23,1.04,19.9999,4.99997,19.3758,67.9999,300.0,60.6238,1.22222,49.9998
k23,1.05,19.9999,4.99997,19.2257,67.9999,300.0,60.774,1.22222,49.9998
k23,1.06,19.9999,4.99997,19.0778,67.9999,300.0,60.9219,1.22222,49.9998
k23,1.07,19.9999,4.99997,18.9321,67.9999,300.0,61.0676,1.22222,49.9998
k23,1.08,19.9999,4.99997,18.7885,67.9999,300.0,61.2111,1.22222,49.9998
k23,1.09,19.9999,4.99997,18.6471,67.9999,300.0,61.3525,1.22222,49.9998
k23,1.1,19.9999,4.99997,18.5078,67.9999,300.0,61.4919,1.22222,49.9998
k23,1.11,19.9999,4.99997,18.3704,67.9999,300.0,61.6292,1.22222,49.9998
k23,1.12,19.9999,4.99997,18.2351,67.9999,300.0,61.7646,1.22222,49.9998
k23,1.13,19.9999,4.99997,18.1017,67.9999,300.0,61.898,1.22222,49.9998
k23,1.14,19.9999,4.99997,17.9702,67.9999,300.0,62.0295,1.22222,49.9998
k23,1.15,19.9999,4.99997,17.8405,67.9999,300.0,62.1591,1.22222,49.9998
k23,1.16,19.9999,4.99997,17.7127,67.9999,300.0,62.287,1.22222,49.9998
k23,1.17,19.9999,4.99997,17.5867,67.9999,300.0,62.413,1.22222,49.9998
k23,1.18,19.9999,4.99997,17.4624,67.9999,300.0,62.5373,1.22222,49.9998
k23,1.19,19.9999,4.99997,17.3398,67.9999,300.0,62.6599,1.22222,49.9998
k23,1.2,19.9999,4.99997,17.2189,67.9999,300.0,62.7808,1.22222,49.9998
k23,1.21,19.9999,4.99997,17.0996,67.9999,300.0,62.9,1.22222,49.9998
k23,1.22,19.9999,4.99997,16.982,67.9999,300.0,63.0177,1.22222,49.9998
k23,1.23,19.9999,4.99997,16.8659,67.9999,300.0,63.1338,1.22222,49.9998
k23,1.24,19.9999,4.99997,16.7514,67.9999,300.0,63.2483,1.22222,49.9998
k23,1.25,19.9999,4.99997,16.6384,67.9999,300.0,63.3613,1.22222,49.9998
k23,1.26,19.9999,4.99997,16.5269,67.9999,300.0,63.4728,1.22222,49.9998
k23,1.27,19.9999,4.99997,16.4168,67.9999,300.0,63.5828,1.22222,49.9998
k23,1.28,19.9999,4.99997,16.3082,67.9999,300.0,63.6915,1.22222,49.9998
k23,1.29,19.9999,4.99997,16.201,67.9999,300.0,63.7987,1.22222,49.9998
k23,1.3,19.9999,4.99997,16.0951,67.9999,300.0,63.9045,1.22222,49.9998
k23,1.31,19.9999,4.99997,15.9907,67.9999,300.0,64.009,1.22222,49.9998
k23,1.32,19.9999,4.99997,15.8875,67.9999,300.0,64.1122,1.22222,49.9998
k23,1.33,19.9999,4.99997,15.7856,67.9999,300.0,64.214,1.22222,49.9998
