alteredRateConstant,factor,MP,FC,F2,CIA,FS,F3,O2,FM
k23,0.5,50.0006,20.0,848.535,79.9999,500.0,2751.47,0.999999,100.0
k23,0.51,50.0006,20.0,815.215,79.9999,500.0,2784.79,0.999999,100.0
k23,0.52,50.0006,20.0,783.255,79.9999,500.0,2816.75,0.999999,100.0
k23,0.53,50.0006,20.0,752.643,79.9999,500.0,2847.36,0.999999,100.0
k23,0.54,50.0006,20.0,723.364,79.9999,500.0,2876.64,0.999999,100.0
k23,0.55,50.0006,20.0,695.396,79.9999,500.0,2904.61,0.999999,100.0
k23,0.56,50.0006,20.0,668.712,79.9999,500.0,2931.29,0.999999,100.0
k23,0.57,50.0006,20.0,643.279,79.9999,500.0,2956.72,0.999999,100.0
k23,0.58,50.0006,20.0,619.063,79.9999,500.0,2980.94,0.999999,100.0
k23,0.59,50.0006,20.0,596.023,79.9999,500.0,3003.98,0.999999,100.0
k23,0.6,50.0006,20.0,574.116,79.9999,500.0,3025.89,0.999999,100.0
k23,0.61,50.0006,20.0,553.3,79.9999,500.0,3046.7,0.999999,100.0
k23,0.62,50.0006,20.0,533.527,79.9999,500.0,3066.48,0.999999,100.0
k23,0.63,50.0006,20.0,514.751,79.9999,500.0,3085.25,0.999999,100.0
k23,0.64,50.0006,20.0,496.925,79.9999,500.0,3103.08,0.999999,100.0
k23,0.65,50.0006,20.0,480.004,79.9999,500.0,3120.0,0.999999,100.0
k23,0.66,50.0006,20.0,463.94,79.9999,500.0,3136.06,0.999999,100.0
k23,0.67,50.0006,20.0,448.69,79.9999,500.0,3151.31,0.999999,100.0
k23,0.68,50.0006,20.0,434.208,79.9999,500.0,3165.8,0.999999,100.0
k23,0.69,50.0006,20.0,420.454,79.9999,500.0,3179.55,0.999999,100.0
k23,0.7,50.0006,20.0,407.385,79.9999,500.0,3192.62,0.999999,100.0
k23,0.71,50.0006,20.0,394.965,79.9999,500.0,3205.04,0.999999,100.0
k23,0.72,50.0006,20.0,383.155,79.9999,500.0,3216.85,0.999999,100.0
k23,0.73,50.0006,20.0,371.92,79.9999,500.0,3228.08,0.999999,100.0
k23,0.74,50.0006,20.0,361.227,79.9999,500.0,3238.78,0.999999,100.0
k23,0.75,50.0006,20.0,351.044,79.9999,500.0,3248.96,0.999999,100.0
k23,0.76,50.0006,20.0,341.342,79.9999,500.0,3258.66,0.999999,100.0
k23,0.77,50.0006,20.0,332.092,79.9999,500.0,3267.91,0.999999,100.0
k23,0.78,50.0006,20.0,323.269,79.9999,500.0,3276.73,0.999999,100.0
k23,0.79,50.0006,20.0,314.847,79.9999,500.0,3285.16,0.999999,100.0
k23,0.8,50.0006,20.0,306.803,79.9999,500.0,3293.2,0.999999,100.0
k23,0.81,50.0006,20.0,299.116,79.9999,500.0,3300.89,0.999999,100.0
k23,0.82,50.0006,20.0,291.764,79.9999,500.0,3308.24,0.999999,100.0
k23,0.83,50.0006,20.0,284.73,79.9999,500.0,3315.27,0.999999,100.0
k23,0.84,50.0006,20.0,277.995,79.9999,500.0,3322.01,0.999999,100.0
k23,0.85,50.0006,20.0,271.542,79.9999,500.0,3328.46,0.999999,100.0
k23,0.86,50.0006,20.0,265.356,79.9999,500.0,3334.65,0.999999,100.0
k23,0.87,50.0006,20.0,259.422,79.9999,500.0,3340.58,0.999999,100.0
k23,0.88,50.0006,20.0,253.726,79.9999,500.0,3346.28,0.999999,100.0
k23,0.89,50.0006,20.0,248.256,79.9999,500.0,3351.75,0.999999,100.0
k23,0.9,50.0006,20.0,242.999,79.9999,500.0,3357.0,0.999999,100.0
k23,0.91,50.0006,20.0,237.944,79.9999,500.0,3362.06,0.999999,100.0
k23,0.92,50.0006,20.0,233.081,79.9999,500.0,3366.92,0.999999,100.0
k23,0.93,50.0006,20.0,228.399,79.9999,500.0,3371.6,0.999999,100.0
k23,0.94,50.0006,20.0,223.89,79.9999,500.0,3376.11,0.999999,100.0
k23,0.95,50.0006,20.0,219.544,79.9999,500.0,3380.46,0.999999,100.0
k23,0.96,50.0006,20.0,215.354,79.9999,500.0,3384.65,0.999999,100.0
k23,0.97,50.0006,20.0,211.312,79.9999,500.0,3388.69,0.999999,100.0
k23,0.98,50.0006,20.0,207.41,79.9999,500.0,3392.59,0.999999,100.0
k23,0.99,50.0006,20.0,203.642,79.9999,500.0,3396.36,0.999999,100.0
k23,1.,50.0006,20.0,200.001,79.9999,500.0,3400.0,0.999999,100.0
k23,1.01,50.0006,20.0,196.482,79.9999,500.0,3403.52,0.999999,100.0
k23,1.02,50.0006,20.0,193.078,79.9999,500.0,3406.92,0.999999,100.0
k23,1.03,50.0006,20.0,189.785,79.9999,500.0,3410.22,0.999999,100.0
k23,1.04,50.0006,20.0,186.598,79.9999,500.0,3413.41,0.999999,100.0
k23,1.05,50.0006,20.0,183.51,79.9999,500.0,3416.49,0.999999,100.0
k23,1.06,50.0006,20.0,180.519,79.9999,500.0,3419.48,0.999999,100.0
k23,1.07,50.0006,20.0,177.62,79.9999,500.0,3422.38,0.999999,100.0
k23,1.08,50.0006,20.0,174.809,79.9999,500.0,3425.19,0.999999,100.0
k23,1.09,50.0006,20.0,172.082,79.9999,500.0,3427.92,0.999999,100.0
k23,1.1,50.0006,20.0,169.435,79.9999,500.0,3430.57,0.999999,100.0
k23,1.11,50.0006,20.0,166.866,79.9999,500.0,3433.14,0.999999,100.0
k23,1.12,50.0006,20.0,164.371,79.9999,500.0,3435.63,0.999999,100.0
k23,1.13,50.0006,20.0,161.946,79.9999,500.0,3438.06,0.999999,100.0
k23,1.14,50.0006,20.0,159.59,79.9999,500.0,3440.41,0.999999,100.0
k23,1.15,50.0006,20.0,157.299,79.9999,500.0,3442.7,0.999999,100.0
k23,1.16,50.0006,20.0,155.071,79.9999,500.0,3444.93,0.999999,100.0
k23,1.17,50.0006,20.0,152.903,79.9999,500.0,3447.1,0.999999,100.0
k23,1.18,50.0006,20.0,150.793,79.9999,500.0,3449.21,0.999999,100.0
k23,1.19,50.0006,20.0,148.739,79.9999,500.0,3451.26,0.999999,100.0
k23,1.2,50.0006,20.0,146.738,79.9999,500.0,3453.27,0.999999,100.0
k23,1.21,50.0006,20.0,144.789,79.9999,500.0,3455.21,0.999999,100.0
k23,1.22,50.0006,20.0,142.889,79.9999,500.0,3457.11,0.999999,100.0
k23,1.23,50.0006,20.0,141.038,79.9999,500.0,3458.97,0.999999,100.0
k23,1.24,50.0006,20.0,139.233,79.9999,500.0,3460.77,0.999999,100.0
k23,1.25,50.0006,20.0,137.472,79.9999,500.0,3462.53,0.999999,100.0
k23,1.26,50.0006,20.0,135.754,79.9999,500.0,3464.25,0.999999,100.0
k23,1.27,50.0006,20.0,134.077,79.9999,500.0,3465.93,0.999999,100.0
k23,1.28,50.0006,20.0,132.44,79.9999,500.0,3467.56,0.999999,100.0
k23,1.29,50.0006,20.0,130.842,79.9999,500.0,3469.16,0.999999,100.0
k23,1.3,50.0006,20.0,129.281,79.9999,500.0,3470.72,0.999999,100.0
k23,1.31,50.0006,20.0,127.756,79.9999,500.0,3472.25,0.999999,100.0
k23,1.32,50.0006,20.0,126.266,79.9999,500.0,3473.74,0.999999,100.0
k23,1.33,50.0006,20.0,124.81,79.9999,500.0,3475.19,0.999999,100.0
k23,1.34,50.0006,20.0,123.386,79.9999,500.0,3476.62,0.999999,100.0
k23,1.35,50.0006,20.0,121.993,79.9999,500.0,3478.01,0.999999,100.0
k23,1.36,50.0006,20.0,120.631,79.9999,500.0,3479.37,0.999999,100.0
k23,1.37,50.0006,20.0,119.299,79.9999,500.0,3480.7,0.999999,100.0
k23,1.38,50.0006,20.0,117.995,79.9999,500.0,3482.01,0.999999,100.0
k23,1.39,50.0006,20.0,116.719,79.9999,500.0,3483.28,0.999999,100.0
k23,1.4,50.0006,20.0,115.469,79.9999,500.0,3484.53,0.999999,100.0
k23,1.41,50.0006,20.0,114.246,79.9999,500.0,3485.76,0.999999,100.0
k23,1.42,50.0006,20.0,113.047,79.9999,500.0,3486.96,0.999999,100.0
k23,1.43,50.0006,20.0,111.874,79.9999,500.0,3488.13,0.999999,100.0
k23,1.44,50.0006,20.0,110.723,79.9999,500.0,3489.28,0.999999,100.0
k23,1.45,50.0006,20.0,109.596,79.9999,500.0,3490.41,0.999999,100.0
k23,1.46,50.0006,20.0,108.492,79.9999,500.0,3491.51,0.999999,100.0
k23,1.47,50.0006,20.0,107.409,79.9999,500.0,3492.59,0.999999,100.0
k23,1.48,50.0006,20.0,106.347,79.9999,500.0,3493.66,0.999999,100.0
k23,1.49,50.0006,20.0,105.305,79.9999,500.0,3494.7,0.999999,100.0
k23,1.5,50.0006,20.0,104.284,79.9999,500.0,3495.72,0.999999,100.0
k23,1.51,50.0006,20.0,103.281,79.9999,500.0,3496.72,0.999999,100.0
k23,1.52,50.0006,20.0,102.298,79.9999,500.0,3497.71,0.999999,100.0
k23,1.53,50.0006,20.0,101.333,79.9999,500.0,3498.67,0.999999,100.0
k23,1.54,50.0006,20.0,100.386,79.9999,500.0,3499.62,0.999999,100.0
k23,1.55,50.0006,20.0,99.4555,79.9999,500.0,3500.55,0.999999,100.0
k23,1.56,50.0006,20.0,98.5423,79.9999,500.0,3501.46,0.999999,100.0
k23,1.57,50.0006,20.0,97.6455,79.9999,500.0,3502.36,0.999999,100.0
k23,1.58,50.0006,20.0,96.7647,79.9999,500.0,3503.24,0.999999,100.0
k23,1.59,50.0006,20.0,95.8995,79.9999,500.0,3504.1,0.999999,100.0
k23,1.6,50.0006,20.0,95.0494,79.9999,500.0,3504.95,0.999999,100.0
k23,1.61,50.0006,20.0,94.214,79.9999,500.0,3505.79,0.999999,100.0
k23,1.62,50.0006,20.0,93.393,79.9999,500.0,3506.61,0.999999,100.0
k23,1.63,50.0006,20.0,92.5861,79.9999,500.0,3507.42,0.999999,100.0
k23,1.64,50.0006,20.0,91.7928,79.9999,500.0,3508.21,0.999999,100.0
k23,1.65,50.0006,20.0,91.0128,79.9999,500.0,3508.99,0.999999,100.0
k23,1.66,50.0006,20.0,90.2458,79.9999,500.0,3509.76,0.999999,100.0
k23,1.67,50.0006,20.0,89.4916,79.9999,500.0,3510.51,0.999999,100.0
k23,1.68,50.0006,20.0,88.7496,79.9999,500.0,3511.25,0.999999,100.0
k23,1.69,50.0006,20.0,88.0198,79.9999,500.0,3511.98,0.999999,100.0
k23,1.7,50.0006,20.0,87.3017,79.9999,500.0,3512.7,0.999999,100.0
k23,1.71,50.0006,20.0,86.5951,79.9999,500.0,3513.41,0.999999,100.0
k23,1.72,50.0006,20.0,85.8998,79.9999,500.0,3514.1,0.999999,100.0
k23,1.73,50.0006,20.0,85.2154,79.9999,500.0,3514.79,0.999999,100.0
k23,1.74,50.0006,20.0,84.5418,79.9999,500.0,3515.46,0.999999,100.0
k23,1.75,50.0006,20.0,83.8786,79.9999,500.0,3516.12,0.999999,100.0
k23,1.76,50.0006,20.0,83.2256,79.9999,500.0,3516.78,0.999999,100.0
k23,1.77,50.0006,20.0,82.5826,79.9999,500.0,3517.42,0.999999,100.0
k23,1.78,50.0006,20.0,81.9494,79.9999,500.0,3518.05,0.999999,100.0
k23,1.79,50.0006,20.0,81.3258,79.9999,500.0,3518.68,0.999999,100.0
k23,1.8,50.0006,20.0,80.7114,79.9999,500.0,3519.29,0.999999,100.0
k23,1.81,50.0006,20.0,80.1062,79.9999,500.0,3519.9,0.999999,100.0
k23,1.82,50.0006,20.0,79.51,79.9999,500.0,3520.49,0.999999,100.0
k23,1.83,50.0006,20.0,78.9225,79.9999,500.0,3521.08,0.999999,100.0
k23,1.84,50.0006,20.0,78.3435,79.9999,500.0,3521.66,0.999999,100.0
k23,1.85,50.0006,20.0,77.7729,79.9999,500.0,3522.23,0.999999,100.0
k23,1.86,50.0006,20.0,77.2104,79.9999,500.0,3522.79,0.999999,100.0
k23,1.87,50.0006,20.0,76.656,79.9999,500.0,3523.35,0.999999,100.0
k23,1.88,50.0006,20.0,76.1094,79.9999,500.0,3523.89,0.999999,100.0
