alteredRateConstant,factor,MP,FC,F2,CIA,FS,F3,O2,FM
k23,0.5,8500.01,9.99998,63.2365,69.9999,150.0,386.762,0.481331,200.0
k23,0.51,8500.01,9.99998,61.8946,69.9999,150.0,388.104,0.481331,200.0
k23,0.52,8500.01,9.99998,60.6062,69.9999,150.0,389.392,0.481331,200.0
k23,0.53,8500.01,9.99998,59.3683,69.9999,150.0,390.63,0.481331,200.0
k23,0.54,8500.01,9.99998,58.1783,69.9999,150.0,391.82,0.481331,200.0
k23,0.55,8500.01,9.99998,57.0334,69.9999,150.0,392.965,0.481331,200.0
k23,0.56,8500.01,9.99998,55.9311,69.9999,150.0,394.067,0.481331,200.0
k23,0.57,8500.01,9.99998,54.8694,69.9999,150.0,395.129,0.481331,200.0
k23,0.58,8500.01,9.99998,53.8459,69.9999,150.0,396.152,0.481331,200.0
k23,0.59,8500.01,9.99998,52.8588,69.9999,150.0,397.139,0.481331,200.0
k23,0.6,8500.01,9.99998,51.9062,69.9999,150.0,398.092,0.481331,200.0
k23,0.61,8500.01,9.99998,50.9864,69.9999,150.0,399.012,0.481331,200.0
k23,0.62,8500.01,9.99998,50.0978,69.9999,150.0,399.9,0.481331,200.0
k23,0.63,8500.01,9.99998,49.2388,69.9999,150.0,400.759,0.481331,200.0
k23,0.64,8500.01,9.99998,48.408,69.9999,150.0,401.59,0.481331,200.0
k23,0.65,8500.01,9.99998,47.6041,69.9999,150.0,402.394,0.481331,200.0
k23,0.66,8500.01,9.99998,46.8259,69.9999,150.0,403.172,0.481331,200.0
k23,0.67,8500.01,9.99998,46.0721,69.9999,150.0,403.926,0.481331,200.0
k23,0.68,8500.01,9.99998,45.3417,69.9999,150.0,404.657,0.481331,200.0
k23,0.69,8500.01,9.99998,44.6335,69.9999,150.0,405.365,0.481331,200.0
k23,0.7,8500.01,9.99998,43.9467,69.9999,150.0,406.051,0.481331,200.0
k23,0.71,8500.01,9.99998,43.2803,69.9999,150.0,406.718,0.481331,200.0
k23,0.72,8500.01,9.99998,42.6334,69.9999,150.0,407.365,0.481331,200.0
k23,0.73,8500.01,9.99998,42.0052,69.9999,150.0,407.993,0.481331,200.0
k23,0.74,8500.01,9.99998,41.3949,69.9999,150.0,408.603,0.481331,200.0
k23,0.75,8500.01,9.99998,40.8017,69.9999,150.0,409.196,0.481331,200.0
k23,0.76,8500.01,9.99998,40.2251,69.9999,150.0,409.773,0.481331,200.0
k23,0.77,8500.01,9.99998,39.6642,69.9999,150.0,410.334,0.481331,200.0
k23,0.78,8500.01,9.99998,39.1185,69.9999,150.0,410.88,0.481331,200.0
k23,0.79,8500.01,9.99998,38.5873,69.9999,150.0,411.411,0.481331,200.0
k23,0.8,8500.01,9.99998,38.0702,69.9999,150.0,411.928,0.481331,200.0
k23,0.81,8500.01,9.99998,37.5665,69.9999,150.0,412.432,0.481331,200.0
k23,0.82,8500.01,9.99998,37.0758,69.9999,150.0,412.922,0.481331,200.0
k23,0.83,8500.01,9.99998,36.5975,69.9999,150.0,413.401,0.481331,200.0
k23,0.84,8500.01,9.99998,36.1313,69.9999,150.0,413.867,0.481331,200.0
k23,0.85,8500.01,9.99998,35.6766,69.9999,150.0,414.322,0.481331,200.0
k23,0.86,8500.01,9.99998,35.2331,69.9999,150.0,414.765,0.481331,200.0
k23,0.87,8500.01,9.99998,34.8003,69.9999,150.0,415.198,0.481331,200.0
k23,0.88,8500.01,9.99998,34.3779,69.9999,150.0,415.62,0.481331,200.0
k23,0.89,8500.01,9.99998,33.9655,69.9999,150.0,416.033,0.481331,200.0
k23,0.9,8500.01,9.99998,33.5627,69.9999,150.0,416.435,0.481331,200.0
k23,0.91,8500.01,9.99998,33.1693,69.9999,150.0,416.829,0.481331,200.0
k23,0.92,8500.01,9.99998,32.7849,69.9999,150.0,417.213,0.481331,200.0
k23,0.93,8500.01,9.99998,32.4092,69.9999,150.0,417.589,0.481331,200.0
k23,0.94,8500.01,9.99998,32.0419,69.9999,150.0,417.956,0.481331,200.0
k23,0.95,8500.01,9.99998,31.6827,69.9999,150.0,418.315,0.481331,200.0
