ID,k23,kcia,kvac,kmit,kcyt,ko2,kmp
1,FC,FM,FC,FS,FC,FS,FM
2,FC,FM,FC,FS,FC,FS,MP
3,FC,FM,FC,FS,F2,FS,FM
4,FC,FM,FC,FS,F2,FS,MP
5,FC,FM,FC,FS,F3,FS,FM
6,FC,FM,FC,FS,F3,FS,MP
7,FC,FM,CIA,FS,FC,FS,FM
8,FC,FM,CIA,FS,FC,FS,MP
9,FC,FM,CIA,FS,F3,FS,FM
10,FC,FM,CIA,FS,F3,FS,MP
11,FC,FM,F3,FS,F3,FS,FM
12,FC,FM,F3,FS,F3,FS,MP
13,FC,MP,FC,FS,FC,FS,FM
14,FC,MP,FC,FS,FC,FS,MP
15,FC,MP,FC,FS,CIA,FS,FM
16,FC,MP,FC,FS,F2,FS,FM
17,FC,MP,FC,FS,F2,FS,MP
18,FC,MP,FC,FS,F3,FS,FM
19,FC,MP,FC,FS,F3,FS,MP
20,FC,MP,CIA,FS,FC,FS,MP
21,FC,MP,CIA,FS,F3,FS,MP
22,FC,MP,F3,FS,F3,FS,FM
23,FC,MP,F3,FS,F3,FS,MP
24,FC,O2,FC,FS,FC,FS,FM
25,FC,O2,FC,FS,FC,FS,MP
26,FC,O2,FC,FS,CIA,FS,FM
27,FC,O2,FC,FS,CIA,FS,MP
28,FC,O2,FC,FS,F2,FS,FM
29,FC,O2,FC,FS,F2,FS,MP
30,FC,O2,FC,FS,F3,FS,FM
31,FC,O2,FC,FS,F3,FS,MP
32,FC,O2,F3,FS,F3,FS,FM
33,FC,O2,F3,FS,F3,FS,MP
34,CIA,FM,FC,FS,FC,FS,FM
35,CIA,FM,FC,FS,FC,FS,MP
36,CIA,FM,FC,FS,F3,FS,FM
37,CIA,FM,FC,FS,F3,FS,MP
38,CIA,FM,CIA,FS,FC,FS,FM
39,CIA,FM,CIA,FS,FC,FS,MP
40,CIA,FM,CIA,FS,F3,FS,FM
41,CIA,FM,CIA,FS,F3,FS,MP
42,CIA,FM,F3,FS,FC,FS,FM
43,CIA,FM,F3,FS,FC,FS,MP
44,CIA,FM,F3,FS,F3,FS,FM
45,CIA,FM,F3,FS,F3,FS,MP
46,CIA,MP,FC,FS,FC,FS,FM
47,CIA,MP,FC,FS,FC,FS,MP
48,CIA,MP,FC,FS,CIA,FS,FM
49,CIA,MP,FC,FS,F3,FS,FM
50,CIA,MP,FC,FS,F3,FS,MP
51,CIA,MP,CIA,FS,FC,FS,MP
52,CIA,MP,CIA,FS,F3,FS,MP
53,CIA,MP,F3,FS,FC,FS,FM
54,CIA,MP,F3,FS,FC,FS,MP
55,CIA,MP,F3,FS,F3,FS,FM
56,CIA,MP,F3,FS,F3,FS,MP
57,CIA,O2,FC,FS,FC,FS,FM
58,CIA,O2,FC,FS,FC,FS,MP
59,CIA,O2,FC,FS,CIA,FS,FM
