IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0063, 20.0025, 199.996, 79.9988, 499.991, 3399.99, 1.00003, 100.01
39.6061, 50.2255, 20.1318, 198.862, 79.9096, 503.46, 3387.0, 0.989868, 100.1
39.2121, 50.4108, 20.2494, 197.756, 79.8281, 507.254, 3373.64, 0.978874, 100.115
38.8182, 50.5875, 20.3646, 196.657, 79.7496, 511.285, 3359.91, 0.967325, 100.095
38.4242, 50.7958, 20.4929, 195.533, 79.6677, 515.462, 3345.75, 0.955513, 100.099
38.0303, 51.0817, 20.6524, 194.348, 79.5756, 519.684, 3331.1, 0.943736, 100.196
37.6364, 51.4824, 20.8573, 193.076, 79.4693, 523.833, 3315.92, 0.932326, 100.439
37.2424, 52.0176, 21.1142, 191.702, 79.348, 527.778, 3300.27, 0.921628, 100.856
36.8485, 52.6884, 21.4212, 190.228, 79.2144, 531.397, 3284.23, 0.91195, 101.447
36.4545, 53.4783, 21.7691, 188.669, 79.0735, 534.581, 3268.0, 0.903539, 102.186
36.0606, 54.3598, 22.144, 187.048, 78.9305, 537.252, 3251.74, 0.896561, 103.032
35.6667, 55.3044, 22.5319, 185.387, 78.79, 539.373, 3235.63, 0.891071, 103.944
35.2727, 56.2821, 22.9191, 183.708, 78.6554, 540.935, 3219.77, 0.887056, 104.885
34.8788, 57.2683, 23.2951, 182.029, 78.5286, 541.956, 3204.28, 0.884446, 105.825
34.4848, 58.242, 23.6514, 180.362, 78.4107, 542.466, 3189.18, 0.883145, 106.74
34.0909, 59.1866, 23.9824, 178.716, 78.302, 542.504, 3174.51, 0.883048, 107.619
33.697, 60.0877, 24.284, 177.098, 78.2023, 542.111, 3160.26, 0.884047, 108.45
33.303, 60.9348, 24.554, 175.51, 78.1113, 541.329, 3146.43, 0.886045, 109.229
32.9091, 61.7201, 24.7915, 173.952, 78.0284, 540.191, 3133.0, 0.88896, 109.955
32.5152, 62.4358, 24.9958, 172.426, 77.9528, 538.735, 3119.93, 0.892714, 110.628
32.1212, 63.0765, 25.1673, 170.929, 77.8842, 536.986, 3107.21, 0.897246, 111.247
31.7273, 63.6373, 25.3062, 169.459, 77.8218, 534.973, 3094.8, 0.902502, 111.814
31.3333, 64.1142, 25.4131, 168.016, 77.7653, 532.718, 3082.69, 0.908438, 112.33
30.9394, 64.5039, 25.4883, 166.596, 77.7142, 530.242, 3070.84, 0.915015, 112.794
30.5455, 64.8036, 25.5325, 165.198, 77.6681, 527.563, 3059.24, 0.922197, 113.206
30.1515, 65.0112, 25.546, 163.82, 77.6269, 524.699, 3047.86, 0.929951, 113.565
29.7576, 65.1255, 25.5291, 162.46, 77.5902, 521.668, 3036.68, 0.938246, 113.869
