kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0, 200.002, 80.0, 500.001, 3400.01, 0.999998, 100.0
6.6054, 51.9399, 20.2274, 199.942, 79.9148, 502.849, 3413.29, 0.991651, 101.33
6.5448, 54.0801, 20.446, 199.9, 79.8367, 505.39, 3426.85, 0.984258, 102.663
6.4842, 56.4425, 20.6546, 199.88, 79.7655, 507.589, 3440.69, 0.977903, 103.999
6.4236, 59.0494, 20.852, 199.882, 79.7009, 509.413, 3454.85, 0.972664, 105.333
6.363, 61.9241, 21.0372, 199.911, 79.643, 510.827, 3469.35, 0.968621, 106.661
6.3024, 65.0906, 21.2091, 199.967, 79.5915, 511.799, 3484.21, 0.965853, 107.981
6.2418, 68.5734, 21.3667, 200.053, 79.5464, 512.298, 3499.45, 0.964434, 109.288
6.1812, 72.3973, 21.5094, 200.169, 79.5076, 512.296, 3515.09, 0.964439, 110.577
6.1206, 76.5868, 21.6364, 200.318, 79.4748, 511.766, 3531.14, 0.965941, 111.845
6.06, 81.1658, 21.7472, 200.498, 79.448, 510.687, 3547.61, 0.969011, 113.087
5.9994, 86.1566, 21.8416, 200.711, 79.427, 509.041, 3564.5, 0.973714, 114.3
5.9388, 91.5791, 21.9193, 200.956, 79.4116, 506.816, 3581.82, 0.980109, 115.477
5.8782, 97.4496, 21.9804, 201.232, 79.4017, 504.008, 3599.56, 0.988242, 116.617
5.8176, 103.779, 22.0249, 201.538, 79.397, 500.62, 3617.72, 0.998143, 117.714
5.757, 110.57, 22.0532, 201.873, 79.3974, 496.666, 3636.28, 1.00981, 118.765
5.6964, 117.817, 22.0655, 202.234, 79.4027, 492.174, 3655.24, 1.02321, 119.767
5.6358, 125.5, 22.0625, 202.619, 79.4128, 487.187, 3674.58, 1.03825, 120.717
5.5752, 133.588, 22.0447, 203.025, 79.4273, 481.764, 3694.26, 1.05477, 121.613
5.5146, 142.032, 22.013, 203.449, 79.446, 475.981, 3714.27, 1.07255, 122.453
5.454, 150.774, 21.9683, 203.887, 79.4687, 469.926, 3734.57, 1.0913, 123.239
5.3934, 159.746, 21.9117, 204.335, 79.495, 463.697, 3755.14, 1.11068, 123.971
5.3328, 168.878, 21.8445, 204.79, 79.5246, 457.39, 3775.95, 1.13033, 124.653
5.2722, 178.104, 21.7679, 205.249, 79.5572, 451.094, 3796.96, 1.14987, 125.288
5.2116, 187.368, 21.6833, 205.708, 79.5925, 444.884, 3818.15, 1.169, 125.881
5.151, 196.629, 21.5918, 206.164, 79.6301, 438.82, 3839.5, 1.18744, 126.438
5.0904, 205.858, 21.4946, 206.616, 79.6698, 432.94, 3860.99, 1.20498, 126.963
5.0298, 215.041, 21.3927, 207.061, 79.7112, 427.269, 3882.61, 1.22149, 127.462
4.9692, 224.175, 21.287, 207.498, 79.7542, 421.819, 3904.33, 1.23688, 127.939
4.9086, 233.263, 21.1782, 207.924, 79.7986, 416.59, 3926.16, 1.2511, 128.398
4.848, 242.319, 21.067, 208.34, 79.8443, 411.579, 3948.07, 1.26415, 128.843
4.7874, 251.357, 20.9538, 208.744, 79.891, 406.774, 3970.07, 1.27604, 129.277
4.7268, 260.396, 20.8391, 209.135, 79.9387, 402.164, 3992.14, 1.28681, 129.703
4.6662, 269.455, 20.7232, 209.513, 79.9874, 397.737, 4014.29, 1.29648, 130.122
4.6056, 278.556, 20.6064, 209.875, 80.0368, 393.477, 4036.5, 1.3051, 130.536
4.545, 287.719, 20.4889, 210.223, 80.087, 389.373, 4058.76, 1.31272, 130.948
4.4844, 296.967, 20.371, 210.553, 80.1379, 385.411, 4081.07, 1.31937, 131.358
4.4238, 306.319, 20.2527, 210.867, 80.1895, 381.579, 4103.43, 1.32511, 131.767
4.3632, 315.8, 20.1342, 211.162, 80.2417, 377.866, 4125.83, 1.32997, 132.178
4.3026, 325.429, 20.0156, 211.439, 80.2944, 374.261, 4148.25, 1.33398, 132.59
4.242, 335.229, 19.897, 211.695, 80.3476, 370.755, 4170.69, 1.3372, 133.005
