time,MP,FC,F2,CIA,FS,F3,O2,FM
0, 8500.0, 10.0, 30.0, 70.0, 150.0, 420.0, 0.481333, 200.0
1, 8483.2, 10.0029, 30.831, 69.9998, 150.149, 419.169, 0.00325228, 216.629
2, 8466.59, 10.0101, 31.6621, 69.9994, 150.308, 418.341, 0.00322129, 233.008
3, 8450.19, 10.0201, 32.4944, 69.9989, 150.477, 417.514, 0.00319339, 249.12
4, 8433.97, 10.0321, 33.3289, 69.9984, 150.654, 416.689, 0.00317433, 265.003
5, 8417.88, 10.0456, 34.1662, 69.998, 150.839, 415.865, 0.00316229, 280.701
6, 8401.89, 10.0602, 35.0068, 69.9977, 151.031, 415.044, 0.00315412, 296.243
7, 8385.98, 10.0757, 35.8512, 69.9975, 151.228, 414.225, 0.00314786, 311.644
8, 8370.16, 10.0919, 36.6996, 69.9975, 151.432, 413.407, 0.00314253, 326.91
9, 8354.41, 10.1089, 37.5525, 69.9976, 151.64, 412.591, 0.00313771, 342.044
10, 8338.74, 10.1264, 38.41, 69.9979, 151.853, 411.777, 0.0031332, 357.049
11, 8323.14, 10.1444, 39.2725, 69.9983, 152.071, 410.965, 0.00312892, 371.924
12, 8307.62, 10.163, 40.1403, 69.9989, 152.292, 410.155, 0.00312484, 386.67
13, 8292.16, 10.182, 41.0135, 69.9997, 152.517, 409.347, 0.00312092, 401.288
14, 8276.78, 10.2014, 41.8925, 70.0007, 152.746, 408.541, 0.00311717, 415.778
15, 8261.47, 10.2212, 42.7775, 70.0018, 152.978, 407.736, 0.00311357, 430.14
16, 8246.23, 10.2415, 43.6687, 70.0031, 153.212, 406.933, 0.00311012, 444.376
17, 8231.06, 10.2621, 44.5665, 70.0046, 153.45, 406.133, 0.00310681, 458.485
18, 8215.96, 10.283, 45.4709, 70.0063, 153.69, 405.334, 0.00310363, 472.468
19, 8200.93, 10.3043, 46.3822, 70.0082, 153.932, 404.536, 0.00310059, 486.325
20, 8185.97, 10.3259, 47.3008, 70.0102, 154.176, 403.741, 0.00309768, 500.058
21, 8171.08, 10.3478, 48.2268, 70.0125, 154.423, 402.948, 0.0030949, 513.666
22, 8156.25, 10.3699, 49.1605, 70.0149, 154.671, 402.156, 0.00309224, 527.151
